"Приветствие","12-12-2019 13:10"
"Может ли нейросеть продлить жизнь владельцу мобильного телефона","12-12-2019 13:10"
"Ржавые грабли и серебряные пули: как мы разрабатывали Wanna Kicks","12-12-2019 13:10"
"Слишком много шума. Как понять, что происходит в мире технологий сегодня","12-12-2019 13:10"
"Не напрягаться и получать удовольствие. Как остаться инженером и выжить в IT-бизнесе","12-12-2019 13:10"
"Геймификация. Управление мотивацией пользователя в приложении","12-12-2019 13:10"
"Быстрый ML inference на мобильных устройствах","12-12-2019 13:10"
"Машинное обучение + космические снимки + агротех = профит","12-12-2019 13:10"
"Карты для роботов","12-12-2019 13:10"
"Как стартапу получить корпоративные инвестиции и чем они могут быть полезны?","12-12-2019 13:10"
"Три подхода к генерации последовательностей нейросетями","12-12-2019 13:10"
"Квази-гиперболические методы оптимизации для глубинного обучения","12-12-2019 13:10"
"K-factor  больше 1 это новый LTV круче CPA и причем тут AR","12-12-2019 13:10"
"TBA","12-12-2019 13:10"
"Завершение","12-12-2019 13:10"
